VAR	COUNT	FILES
ALLOWED_SENDERS	1	/opt/tour-book/.env
ANTHROPIC_API_KEY	4	/home/tagai/.tagai-env;/home/tagai/openclaw/.env;/home/tagai/clients/michelle-fb/hetzner/.env;/opt/tour-book/.env
APOLLO_API_KEY	1	/home/tagai/openclaw/.env
AZURE_CLIENT_ID	1	/opt/tour-book/.env
AZURE_CLIENT_SECRET	1	/opt/tour-book/.env
AZURE_TENANT_ID	1	/opt/tour-book/.env
CARTESIA_API_KEY	3	/home/tagai/.openclaw/.env;/home/tagai/.openclaw/jarvis-vapi/.env;/home/tagai/.openclaw/projects/dialer/.env
CLAUDE_AI_SESSION_KEY	1	/home/tagai/openclaw/.env
CLAUDE_WEB_COOKIE	1	/home/tagai/openclaw/.env
CLAUDE_WEB_SESSION_KEY	1	/home/tagai/openclaw/.env
CLAWTALK_API_KEY	1	/home/tagai/.tagai-env
CMA_API_KEY	1	/home/tagai/.openclaw/.env
DEEPGRAM_API_KEY	2	/home/tagai/.openclaw/.env;/home/tagai/.openclaw/projects/dialer/.env
DEEPSEEK_API_KEY	4	/home/tagai/.tagai-env;/home/tagai/.openclaw/.env;/home/tagai/.openclaw/workspace/hollywood-studio/.openclaw/.env;/home/tagai/.openclaw/projects/dialer/.env
DELIVERY_EMAILS	1	/opt/tour-book/.env
ELEVENLABS_API_KEY	2	/home/tagai/.tagai-env;/home/tagai/.openclaw/workspace/hollywood-studio/.openclaw/.env
ENV_VERSION	1	/home/tagai/.openclaw/.env
FIRECRAWL_API_KEY	1	/home/tagai/openclaw/.env
GEMINI_API_KEY	1	/home/tagai/.tagai-env
GOG_KEYRING_PASSWORD	2	/home/tagai/.tagai-env;/home/tagai/openclaw/.env
GOOGLE_API_KEY	1	/home/tagai/.tagai-env
GOOGLE_MAPS_KEY	1	/home/tagai/.tagai-env
GROQ_API_KEY	2	/home/tagai/.tagai-env;/home/tagai/openclaw/.env
KIE_API_KEY	3	/home/tagai/.openclaw/.env;/home/tagai/.openclaw/jarvis-vapi/.env;/home/tagai/.openclaw/workspace/hollywood-studio/.openclaw/.env
LANGFUSE_BASE_URL	1	/home/tagai/.openclaw/.env
LANGFUSE_PUBLIC_KEY	1	/home/tagai/.openclaw/.env
LANGFUSE_SECRET_KEY	1	/home/tagai/.openclaw/.env
LIVEKIT_API_KEY	2	/home/tagai/.openclaw/.env;/home/tagai/.openclaw/workspace/hybrid-ai-telemarketing/.env
LIVEKIT_API_SECRET	2	/home/tagai/.openclaw/.env;/home/tagai/.openclaw/workspace/hybrid-ai-telemarketing/.env
LIVEKIT_OUTBOUND_ROOM_PREFIX	1	/home/tagai/.openclaw/.env
LIVEKIT_URL	2	/home/tagai/.openclaw/.env;/home/tagai/.openclaw/workspace/hybrid-ai-telemarketing/.env
LLM_API_KEY	1	/home/tagai/.openclaw/workspace/hybrid-ai-telemarketing/.env
LLM_BASE_URL	1	/home/tagai/.openclaw/workspace/hybrid-ai-telemarketing/.env
LLM_MODEL	1	/home/tagai/.openclaw/workspace/hybrid-ai-telemarketing/.env
MICHELLE_MAYA_BOT_TOKEN	1	/home/tagai/.tagai-env
MICHELLE_TELEGRAM_CHAT_ID	1	/home/tagai/.tagai-env
MISTRAL_API_KEY	2	/home/tagai/.tagai-env;/home/tagai/openclaw/.env
MS_CALENDAR_USER	1	/home/tagai/.tagai-env
MS_CLIENT_ID	4	/home/tagai/.tagai-env;/home/tagai/openclaw/.env;/home/tagai/.openclaw/.env;/home/tagai/.openclaw/mcp-servers/microsoft-graph/.env
MS_CLIENT_SECRET	4	/home/tagai/.tagai-env;/home/tagai/openclaw/.env;/home/tagai/.openclaw/.env;/home/tagai/.openclaw/mcp-servers/microsoft-graph/.env
MS_DEFAULT_USER	3	/home/tagai/openclaw/.env;/home/tagai/.openclaw/.env;/home/tagai/.openclaw/mcp-servers/microsoft-graph/.env
MS_EMAIL_FROM	1	/home/tagai/.tagai-env
MS_TENANT_ID	4	/home/tagai/.tagai-env;/home/tagai/openclaw/.env;/home/tagai/.openclaw/.env;/home/tagai/.openclaw/mcp-servers/microsoft-graph/.env
OPENAI_API_KEY	3	/home/tagai/.tagai-env;/home/tagai/openclaw/.env;/home/tagai/.openclaw/workspace/hollywood-studio/.openclaw/.env
OPENCLAW_ALLOW_INSECURE_PRIVATE_WS	1	/home/tagai/openclaw/.env
OPENCLAW_API_KEY	1	/home/tagai/.openclaw/workspace/hollywood-studio/.openclaw/.env
OPENCLAW_BRIDGE_PORT	1	/home/tagai/openclaw/.env
OPENCLAW_CONFIG_DIR	1	/home/tagai/openclaw/.env
OPENCLAW_GATEWAY_BIND	1	/home/tagai/openclaw/.env
OPENCLAW_GATEWAY_PORT	1	/home/tagai/openclaw/.env
OPENCLAW_GATEWAY_TOKEN	2	/home/tagai/.tagai-env;/home/tagai/openclaw/.env
OPENCLAW_IMAGE	1	/home/tagai/openclaw/.env
OPENCLAW_TZ	1	/home/tagai/openclaw/.env
OPENCLAW_WORKSPACE_DIR	1	/home/tagai/openclaw/.env
OPENWEATHER_API_KEY	1	/home/tagai/.tagai-env
PORT	1	/home/tagai/.tagai-env
RESEND_API_KEY	4	/home/tagai/openclaw/.env;/home/tagai/.openclaw/.env;/home/tagai/.openclaw/workspace/hollywood-studio/.openclaw/.env;/home/tagai/clients/michelle-fb/hetzner/.env
SHOWINGS_EMAIL	1	/opt/tour-book/.env
SIMPLYRETS_API_KEY	2	/home/tagai/.tagai-env;/opt/tour-book/.env
SIMPLYRETS_API_SECRET	2	/home/tagai/.tagai-env;/opt/tour-book/.env
SIP_OUTBOUND_NUMBER	1	/home/tagai/.openclaw/workspace/hybrid-ai-telemarketing/.env
SIP_PASSWORD	1	/home/tagai/.openclaw/workspace/hybrid-ai-telemarketing/.env
SIP_PROVIDER	1	/home/tagai/.openclaw/workspace/hybrid-ai-telemarketing/.env
SIP_USERNAME	1	/home/tagai/.openclaw/workspace/hybrid-ai-telemarketing/.env
SPECTRUM_LEADS_TABLE	2	/home/tagai/.openclaw/.env;/home/tagai/.openclaw/projects/dialer/.env
SUNO_API_KEY	1	/home/tagai/.openclaw/workspace/hollywood-studio/.openclaw/.env
SUPABASE_ACCESS_TOKEN	4	/home/tagai/openclaw/.env;/home/tagai/.openclaw/.env;/home/tagai/.openclaw/mcp-servers/tag-ai-functions/.env;/home/tagai/.openclaw/mcp-servers/supabase/.env
SUPABASE_ANON_KEY	2	/home/tagai/.openclaw/workspace/hollywood-studio/.openclaw/.env;/home/tagai/.openclaw/projects/dialer/.env
SUPABASE_DATA_REF	1	/home/tagai/.openclaw/.env
SUPABASE_DATA_SERVICE_KEY	1	/home/tagai/.openclaw/.env
SUPABASE_DATA_URL	1	/home/tagai/.openclaw/.env
SUPABASE_FUNCTIONS_REF	1	/home/tagai/.openclaw/.env
SUPABASE_FUNCTIONS_SERVICE_KEY	1	/home/tagai/.openclaw/.env
SUPABASE_FUNCTIONS_URL	1	/home/tagai/.openclaw/.env
SUPABASE_KEY	3	/home/tagai/.tagai-env;/home/tagai/openclaw/.env;/home/tagai/clients/michelle-fb/hetzner/.env
SUPABASE_PROJECT_REF	3	/home/tagai/openclaw/.env;/home/tagai/.openclaw/mcp-servers/tag-ai-functions/.env;/home/tagai/.openclaw/mcp-servers/supabase/.env
SUPABASE_SERVICE_KEY	2	/home/tagai/.openclaw/workspace/hollywood-studio/.openclaw/.env;/opt/tour-book/.env
SUPABASE_SERVICE_ROLE_KEY	2	/home/tagai/.openclaw/mcp-servers/tag-ai-functions/.env;/home/tagai/.openclaw/workspace/signals-engine/.env
SUPABASE_URL	7	/home/tagai/.tagai-env;/home/tagai/openclaw/.env;/home/tagai/.openclaw/workspace/signals-engine/.env;/home/tagai/.openclaw/workspace/hollywood-studio/.openclaw/.env;/home/tagai/.openclaw/projects/dialer/.env;/home/tagai/clients/michelle-fb/hetzner/.env;/opt/tour-book/.env
TAVILY_API_KEY	2	/home/tagai/openclaw/.env;/home/tagai/.openclaw/.env
TELEGRAM_BOT_TOKEN	2	/home/tagai/.tagai-env;/home/tagai/openclaw/.env
TELNYX_API_KEY	2	/home/tagai/.openclaw/.env;/home/tagai/.openclaw/projects/dialer/.env
TELNYX_CONNECTION_ID	2	/home/tagai/.openclaw/.env;/home/tagai/.openclaw/projects/dialer/.env
TELNYX_PHONE_NUMBER	2	/home/tagai/.openclaw/.env;/home/tagai/.openclaw/projects/dialer/.env
TELNYX_SIP_PASSWORD	2	/home/tagai/.openclaw/.env;/home/tagai/.openclaw/projects/dialer/.env
TELNYX_SIP_USERNAME	2	/home/tagai/.openclaw/.env;/home/tagai/.openclaw/projects/dialer/.env
TWILIO_ACCOUNT_SID	1	/home/tagai/.openclaw/.env
TWILIO_AUTH_TOKEN	1	/home/tagai/.openclaw/.env
TWILIO_FROM_NUMBER	1	/home/tagai/.openclaw/.env
VAPI_PRIVATE_KEY	3	/home/tagai/.tagai-env;/home/tagai/.openclaw/.env;/home/tagai/.openclaw/jarvis-vapi/.env
VAPI_WEBHOOK_SECRET	1	/home/tagai/.tagai-env
VERCEL_TOKEN	1	/home/tagai/.openclaw/workspace/hollywood-studio/.openclaw/.env
WATCHDOG_TG_CHAT_ID	1	/home/tagai/.tagai-env
WEBHOOK_AUTH_TOKEN	1	/home/tagai/clients/michelle-fb/hetzner/.env
WEBHOOK_SECRET	1	/opt/tour-book/.env
XDG_CONFIG_HOME	1	/home/tagai/openclaw/.env
